Orden,Fecha de búsqueda,Producto,Precio
1,2024-06-30,Plastigal Ajedrez profesional Staunton 160,$41.990
2,2024-06-30,Ajedrez Imantado Magnético Juego Mesa Estrategia Familiar,$6.500
3,2024-06-30,Juego De Ajedrez Damas Y Backgammon 34 Cm Tablero De Madera,$37.000
4,2024-06-30,Ajedrez Tablero 49 X 49 Cm Piezas Madera Bisonte,$35.749
5,2024-06-30,Juego De Mesa Ajedrez Fichas Y Tablero De Madera Faydi 801-0,$15.689
6,2024-06-30,Juego De Mesa Damas Ajedrez Backgammon Tablero 23cm Madera,$18.000
7,2024-06-30,Juego De Ajedrez Imantado Magnético Juego Mesa Estrategia,$6.500
8,2024-06-30,Juego De Mesa Ajedrez Y Damas Imantado Magnific 2549 Pg,$16.000
9,2024-06-30,Juego De Mesa Ajedrez Fichas Y Tablero De Madera Faydi 801-0,$15.603
10,2024-06-30,Juego De Mesa Ajedrez + Damas Pack X 2 Combo Diversion Niños,$6.399
11,2024-06-30,Bisonte Ajedrez BI8742,$23.460
12,2024-06-30,Juego Ajedrez Ruibal Línea Green Box Clásicos (+ 6 Años),$24.400
13,2024-06-30,Juego De Mesa Ajedrez De Madera 3 En 1  Tipo Maletín,$13.407
14,2024-06-30,Juego De Ajedrez Piezas De Plastico 9825 Marca Bisonte,$49.999
15,2024-06-30,Juego De Mesa Ajedrez De Vidrio Solido Ideal Regalo Fino,$49.273
16,2024-06-30,Juego De Mesa Ajedrez Economico En Bolsa Fichas Chicas,$3.478
17,2024-06-30,Ajedrez Juego Madera Plegable - Tiene Backgamon tambien,$72.000
18,2024-06-30,Juego Ajedrez Estudio Ruibal Clásicos (+ 6 Años),$8.500
